parent_cycle_start,entry_area,path,kind,node_length,contents_size,count,bytes,indirect_count,direct_count,direct_bytes
443,429,/data/contracts/*/*/*,"Contents","Na","Cs_0_31",14750,584891,0,0,0
438,437,/data/rolls/*/*,"Inode_root_values","Nl_0_32","Na",20,1238,0,31,238
437,431,/data/contracts/*,"Inode_nonroot_tree","Nl_16385_plus","Na",27,8173,0,0,0
433,432,/data/rolls/*/*/*/*,"Inode_nonroot_values","Multiple","Na",903,77432,0,3018,17760
444,428,/data/cache/*,"Inode_root_values","Nl_0_32","Na",1,51,0,1,6
440,432,/data/big_maps/*/*/*,"Inode_nonroot_tree","Nl_257_2048","Na",52,14078,0,0,0
439,438,/data/contracts,"Inode_root_values","Nl_0_32","Na",1,75,0,2,21
443,442,/data/contracts/*/*/*,"Inode_nonroot_values","Nl_257_2048","Na",837,416930,0,7154,321930
445,441,/data/contracts/*/*/*,"Inode_nonroot_tree","Nl_257_2048","Na",39,10941,0,0,0
435,434,/data/rolls/*,"Inode_nonroot_values","Nl_16385_plus","Na",749,67641,0,2728,16118
433,430,/data/rolls/*/*/*/*,"Inode_nonroot_values","Multiple","Na",585,51159,0,2020,11918
442,428,/data/active_delegates_with_rolls/*,"Inode_nonroot_values","Nl_257_2048","Na",1,187,15,0,0
435,430,/data/contracts/*/*/*,"Inode_nonroot_values","Nl_2049_16384","Na",251,85448,0,1411,63495
433,428,/data/big_maps/*/*/*,"Inode_nonroot_values","Nl_257_2048","Na",51857,7942111,116574,63799,4146935
441,439,/data/contracts/*/*/*/*,"Inode_root_values","Nl_0_32","Na",296,24194,0,819,6167
441,439,/data/big_maps/*/*/*/*,"Inode_root_values","Nl_0_32","Na",147296,8690464,147296,147296,589184
439,433,/data/big_maps/*/*/*,"Inode_nonroot_values","Nl_2049_16384","Na",7621,1843638,37303,15176,986440
444,441,/data/rolls/*,"Inode_nonroot_values","Nl_16385_plus","Na",129,11412,0,454,2681
442,428,/data/contracts/*/*,"Inode_root_values","Nl_0_32","Na",1697633,155639420,47815,5487932,44653008
437,428,/data/contracts/*/*/*,"Inode_nonroot_tree","Nl_2049_16384","Na",21,6870,0,0,0
440,431,/data/contracts/*,"Inode_nonroot_tree","Nl_16385_plus","Na",7,2063,0,0,0
436,430,/data/big_maps/*/*/*,"Inode_root_values","Nl_0_32","Na",1150,211377,3768,1724,112060
442,429,/data/rolls/*/*/*/*,"Inode_nonroot_values","Nl_16385_plus","Na",89,6881,0,247,1454
443,442,/data/votes/*,"Inode_root_values","Nl_0_32","Na",1,69,3,0,0
